entity,n-authors,n-revs
code-maat/target/classes/META-INF/maven/myproject/myproject/pom.properties,1,2
code-maat/target/myproject-0.5.0-SNAPSHOT-standalone.jar,1,2
code-maat/target/myproject-0.5.0-SNAPSHOT.jar,1,2
code-maat/README.Rmd,1,2
README.Rmd,1,2
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/tfs_live_data_test.clj,1,1
complexity/figs/circlepackeR-p-1.png,1,1
code-maat/.DS_Store,1,1
code-maat/downloads/code-maat-master/test/code_maat/parsers/mercurial_test.clj,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/logical_coupling.clj,1,1
git-logs/doc/project-manuscript.md,1,1
code-maat/downloads/code-maat-master/src/code_maat/dataset/dataset.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/tfs.log,1,1
git-logs/downloads/ggplot2,1,1
git-logs/requirements.txt,1,1
git-logs/code/02-tidy.R,1,1
git-logs/data/2020-01-15-author_summary.txt,1,1
git-logs/code/runall.R,1,1
code-maat/downloads/code-maat-master/doc/imgs/abs_churn_sample.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/perforce_live_data_test.clj,1,1
complexity/figs/plot_DplyrClocByFileCommentFacet-1.png,1,1
analyze-github-stuff-with-r/r-pkgs-pr-affected-files-barchart.png,1,1
complexity/figs/plot_ShinyClocByFileBeeSwarmComment-1.png,1,1
complexity/figs/mean-vs-median-plot-1.png,1,1
complexity/figs/ggp_pwr_curve-1.png,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/effort.clj,1,1
analyze-github-stuff-with-r/adv-r-pr-affected-files-figs.R,1,1
complexity/figs/vis_miss-1.png,1,1
complexity/figs/ggp_pwr_curve-power_curve_labels-1.png,1,1
git-logs/data/README.md,1,1
complexity/figs/plot_ShinyClocByFileBlanks-1.png,1,1
analyze-github-stuff-with-r/adv-r-pr-affected-files.csv,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/code_age.clj,1,1
complexity/figs/plot_DplyrClocByFileBlankFacet-1.png,1,1
complexity/figs/code-visualize-1.png,1,1
git-logs/data/2020-01-15-file_name_counts.txt,1,1
code-maat/downloads/code-maat-master/src/code_maat/test/data_driven.clj,1,1
complexity/data/flights.csv,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/commit_messages_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/communication_test.clj,1,1
git-logs/code/03-wrangle.R,1,1
code-maat/logfile.log,1,1
complexity/figs/plot_ShinyClocByFileBeeSwarmBlank-1.png,1,1
code-maat/downloads/code-maat-master/src/code_maat/parsers/time_parser.clj,1,1
analyze-github-stuff-with-r/map-chr-hack.R,1,1
git-logs/docs/git-log-documentation.pdf,1,1
complexity/figs/histogram-by-file-extension-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/app/grouper_test.clj,1,1
analyze-github-stuff-with-r/.gitignore,1,1
code-maat/downloads/code-maat-master/src/code_maat/parsers/hiccup_based_parser.clj,1,1
.DS_Store,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/entities_test.clj,1,1
complexity/python3-complexity-analysis.ipynb,1,1
complexity/figs/plot_ShinyClocByFileCommentFacet-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/empty.git,1,1
complexity/figs/plot_ShinyClocByFileAvgBlanks-1.png,1,1
complexity/figs/plot_DplyrClocByFileBeeSwarmComment-1.png,1,1
complexity/figs/unnamed-chunk-2-1.png,1,1
cloc/docs/cloc-readme.pdf,1,1
code-maat/code-maat.Rproj,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/authors.clj,1,1
code-maat/downloads/code-maat-master/doc/imgs/tree_map_sample.png,1,1
complexity/figs/plot_DplyrClocByFileBlanksFacet-1.png,1,1
README.md,1,1
git-logs/code/01-import.R,1,1
.gitignore,1,1
complexity/figs/conda-env.png,1,1
complexity/figs/tidy_graph_nicely.png,1,1
git-logs/code/06-communicate.R,1,1
complexity/figs/insepect-df-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/simple_p4.txt,1,1
analyze-github-stuff-with-r/stat545-discussion-threads.R,1,1
code-maat/downloads/code-maat-master/src/code_maat/parsers/git.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/simple_git2.txt,1,1
complexity/figs/file_ext-test-1.png,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/math.clj,1,1
code-forensics.Rproj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/git2_live_data_test_with_group.clj,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/commit_messages.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/app/time_based_grouper_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/test_data.clj,1,1
code-maat/project.clj,1,1
cloc/04.0-counting-lines-of-code-R.Rmd,1,1
code-maat/downloads/code-maat-master/doc/imgs/coupling_sample.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/empty.p4,1,1
code-maat/downloads/code-maat-master/project.clj,1,1
complexity/figs/plot_ShinyClocByFileComments-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/churn_scenario_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/regex-and-text-layers-definition.txt,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/sum_of_coupling_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/app/day_coupled_entities_git.txt,1,1
code-maat/downloads/code-maat-master/src/code_maat/output/csv.clj,1,1
complexity/figs/circlepackeR-size-value-1.png,1,1
complexity/figs/LangTibble-1.png,1,1
code-maat/downloads/code-maat-master/Dockerfile,1,1
complexity/figs/entity-frag-equation.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/simple.xml,1,1
analyze-github-stuff-with-r/github-diff-notes.md,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/entities.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/git2_live_data_test.clj,1,1
analyze-github-stuff-with-r/adv-r-pr-affected-files.R,1,1
code-maat/README.md,1,1
git-logs/01.0-git-file-changes-R.Rmd,1,1
code-maat/downloads/code-maat-master/test/code_maat/dataset/dataset_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/svn_live_data_test.clj,1,1
git-logs/CHANGELOG.md,1,1
analyze-github-stuff-with-r/get-pr-affected-files-from-patch.R,1,1
cloc/.DS_Store,1,1
complexity/figs/ggp_tree_viz-1.png,1,1
git-logs/downloads/dplyr,1,1
complexity/figs/plot_ShinyClocByFileAvgComments-1.png,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/workarounds.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/team_level_analyses_test.clj,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/sum_of_coupling.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/logical_coupling_test.clj,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/churn.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/empty.hg,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/coupling_algos.clj,1,1
complexity/figs/incaseoffire.png,1,1
code-maat/downloads/code-maat-master/src/code_maat/app/app.clj,1,1
code-maat/downloads/code-maat-master/src/code_maat/app/team_mapper.clj,1,1
complexity/figs/author-summary-visualize-02-1.png,1,1
cloc/A3-git-cloc-codescene.ipynb,1,1
complexity/figs/tidy_graph_nicely-1.png,1,1
code-maat/downloads/code-maat-master/doc/imgs/code_age_sample.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/text-layers-definition.txt,1,1
code-maat/downloads/code-maat-master/src/code_maat/app/grouper.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/parsers/time_parser_test.clj,1,1
complexity/figs/plot_ShinyClocByFileNameComments-1.png,1,1
code-maat/downloads/code-maat-master/doc/intro.md,1,1
git-logs/README.Rmd,1,1
git-logs/doc/lab-notes.md,1,1
complexity/figs/canary-new.png,1,1
code-maat/downloads/code-maat-master/src/code_maat/parsers/svn.clj,1,1
analyze-github-stuff-with-r/README.Rmd,1,1
complexity/figs/graph-file-counts-1.png,1,1
complexity/figs/inspect_types-1.png,1,1
complexity/figs/plot_DplyrClocByFileBlanks-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/scenario_tests.clj,1,1
code-maat/downloads/code-maat-master/doc/imgs/crime_cover.jpg,1,1
cloc/docs/cloc-readme.html,1,1
analyze-github-stuff-with-r/r-pkgs-pr-affected-files.csv,1,1
complexity/complexity.Rproj,1,1
cloc/04.1-cloc-r-package-tech-debt.Rmd,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/tpp_hg.log,1,1
complexity/figs/circlepackeR-NestedDataNode-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/tools/test_tools.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/authors_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/parsers/svn_test.clj,1,1
complexity/01.1-complexity-analysis-R.Rmd,1,1
complexity/figs/plot_DplyrClocByFileAvgComments-1.png,1,1
complexity/figs/author-summary-visualize-01-1.png,1,1
code-maat/downloads/code-maat-master/README.md,1,1
complexity/figs/set-theme-1.png,1,1
git-logs/LICENSE,1,1
complexity/figs/NineParentsBranches-1.png,1,1
cloc/docs/cloc-readme.md,1,1
analyze-github-stuff-with-r/adv-r-pr-affected-files-barchart.png,1,1
code-maat/downloads/code-maat-master/src/code_maat/parsers/perforce.clj,1,1
git-logs/EXAMPLES.md,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/math_test.clj,1,1
complexity/figs/plot_number_of_commits-1.png,1,1
git-logs/03.1-tidy-git-analysis-jackson.Rmd,1,1
code-maat/downloads/code-maat-master/.mailmap,1,1
code-maat/downloads/code-maat-master/test/code_maat/parsers/git_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/sample_p4.log,1,1
code-maat/downloads/code-maat-master/test/code_maat/parsers/perforce_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/code_age_test.clj,1,1
complexity/figs/plot_ShinyClocByFileBlankFacet-1.png,1,1
analyze-github-stuff-with-r/analyze-github-stuff-with-r.Rproj,1,1
complexity/figs/custom-minimum-1.png,1,1
git-logs/03.2-gh-purrr-package-byran.Rmd,1,1
complexity/figs/ggp_pwr_curve-2-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/app/team_mapper_test.clj,1,1
git-logs/git-logs.Rproj,1,1
complexity/data/flights.rda,1,1
complexity/figs/unnamed-chunk-9-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/statsvn.log,1,1
code-maat/downloads/code-maat-master/test/code_maat/app/cmd_line_test.clj,1,1
analyze-github-stuff-with-r/github-oauth-app-key.R,1,1
analyze-github-stuff-with-r/analyze-github-stuff-with-r-master.zip,1,1
complexity/2020-01-06-installing-anaconda.md,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/summary.clj,1,1
code-maat/downloads/code-maat-master/src/code_maat/app/time_based_grouper.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/parsers/tfs_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/mercurial_live_data_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/coupling_algos_test.clj,1,1
complexity/figs/TenParentsBranches-1.png,1,1
analyze-github-stuff-with-r/open-issue-count-by-repo.R,1,1
complexity/figs/plot_DplyrClocByFileComments-1.png,1,1
git-logs/CITATION,1,1
analyze-github-stuff-with-r/README.md,1,1
git-logs/02.0-git-author-data-R.Rmd,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/git_live_data_test.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/parsers/git2_test.clj,1,1
complexity/figs/hibernate-circle-graphs.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/simple_git.txt,1,1
complexity/01.0-python-2-complexity-analysis.ipynb,1,1
complexity/figs/plot_DplyrClocByFileAvgBlanks-1.png,1,1
code-maat/downloads/code-maat-master/src/code_maat/cmd_line.clj,1,1
complexity/.DS_Store,1,1
git-logs/helpers.md,1,1
complexity/figs/check-missing-languages-1.png,1,1
git-logs/data/2020-01-15-GitFileCount.csv,1,1
complexity/figs/LangCount-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/analysis/churn_test.clj,1,1
code-maat/downloads/code-maat-master/.travis.yml,1,1
code-maat/downloads/.DS_Store,1,1
git-logs/.DS_Store,1,1
git-logs/code/04-visualize.R,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/mono_git.log,1,1
code-maat/downloads/code-maat-master/src/code_maat/parsers/limitters.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/empty.xml,1,1
code-maat/downloads/code-maat-master/logfile.log,1,1
code-maat/downloads/code-maat-master/src/code_maat/parsers/xml.clj,1,1
code-maat/target/stale/leiningen.core.classpath.extract-native-dependencies,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/roslyn_git.log,1,1
complexity/figs/plot_DplyrClocByFileNameComments-1.png,1,1
code-maat/downloads/code-maat-master/src/code_maat/output/filters.clj,1,1
code-maat/downloads/code-maat-master/src/code_maat/analysis/communication.clj,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/simple_hg.txt,1,1
complexity/figs/check-out-inspect_na-1.png,1,1
code-maat/downloads/code-maat-master/test/code_maat/end_to_end/regex-layers-definition.txt,1,1
code-maat/downloads/code-maat-master/src/code_maat/parsers/git2.clj,1,1
